age,income,employment_years,debt,loan_amount,credit_history_years,num_loans,late_payments,credit_utilization,savings,employment_status,payment_history,creditworthy
28,18000.0,7.6,7282.0,9673.0,6.7,5,2,0.36,0.0,Employed,Good,0
58,64939.0,4.4,35857.0,40757.0,2.9,4,2,0.735,5262.0,Self-employed,Excellent,0
49,65506.0,0.0,3193.0,14709.0,4.1,4,2,0.245,51409.0,Employed,Good,1
52,29427.0,6.5,13749.0,1907.0,5.4,5,1,0.516,16635.0,Employed,Good,1
25,39334.0,10.3,10174.0,20008.0,15.3,7,0,0.493,5146.0,Employed,Good,1
35,85152.0,1.2,42914.0,27694.0,1.6,5,0,0.296,71425.0,Unemployed,Good,0
55,44351.0,8.6,36951.0,20554.0,5.3,6,1,0.493,39139.0,Employed,Good,0
58,104344.0,7.3,35564.0,15684.0,7.4,4,1,0.747,40561.0,Unemployed,Good,1
40,54958.0,9.0,4992.0,7297.0,5.8,6,0,0.158,22245.0,Unemployed,Excellent,1
57,63977.0,9.5,24822.0,17861.0,11.3,7,0,0.136,32843.0,Employed,Average,1
58,90571.0,3.2,34391.0,38617.0,5.8,1,1,0.166,26390.0,Employed,Average,0
38,57883.0,0.0,44140.0,13790.0,6.1,6,0,0.471,50617.0,Employed,Excellent,1
61,32948.0,3.9,2450.0,6789.0,10.3,5,3,0.299,19983.0,Employed,Average,0
33,52586.0,9.6,33450.0,19649.0,14.2,3,3,0.67,33879.0,Employed,Average,0
31,54217.0,3.8,18157.0,25477.0,12.6,6,1,0.538,35146.0,Self-employed,Poor,0
51,24976.0,3.2,500.0,5928.0,6.5,1,1,0.624,23890.0,Unemployed,Average,1
49,49372.0,0.0,15327.0,16686.0,6.8,5,1,0.345,1388.0,Employed,Good,0
27,38672.0,13.0,7765.0,13770.0,7.2,4,0,0.533,1611.0,Employed,Excellent,1
58,75336.0,9.3,18911.0,13299.0,7.6,7,0,0.424,52283.0,Employed,Excellent,1
29,55761.0,9.1,30755.0,32111.0,3.6,4,1,0.738,11469.0,Employed,Excellent,1
57,48778.0,9.9,14341.0,33902.0,10.7,4,1,0.626,32942.0,Employed,Good,0
21,52664.0,8.3,14532.0,19826.0,7.8,4,4,0.373,15547.0,Unemployed,Poor,0
56,59909.0,5.0,8299.0,4934.0,6.8,4,3,0.769,20663.0,Employed,Excellent,1
56,68570.0,5.3,5021.0,13878.0,1.9,7,1,0.122,12568.0,Employed,Good,1
56,33006.0,4.3,18178.0,4929.0,7.2,6,1,0.806,21748.0,Employed,Poor,0
50,32085.0,16.5,26716.0,13796.0,0.5,0,0,0.464,0.0,Employed,Excellent,0
42,79303.0,8.2,1063.0,42210.0,4.7,4,4,0.149,12871.0,Unemployed,Excellent,1
52,45929.0,4.1,,24277.0,4.7,2,2,0.334,20939.0,Unemployed,Good,0
33,23829.0,7.9,13898.0,10586.0,8.1,1,0,0.607,5893.0,Employed,Excellent,0
56,64764.0,2.0,46421.0,16233.0,14.5,6,3,0.283,32621.0,Employed,Good,0
46,65194.0,12.0,20254.0,2068.0,9.3,6,0,0.534,60274.0,Self-employed,Good,1
41,21324.0,3.4,15586.0,8075.0,12.8,7,0,0.236,20321.0,Employed,Good,0
43,60049.0,8.0,21561.0,6277.0,9.6,3,2,0.292,31324.0,Employed,,1
46,71183.0,10.3,44499.0,41459.0,11.5,3,0,0.609,27442.0,Unemployed,Average,0
22,63237.0,7.5,39475.0,36325.0,14.4,6,1,0.439,45925.0,Employed,Excellent,1
27,68904.0,6.4,27151.0,14428.0,4.1,1,2,0.238,50497.0,Employed,Good,1
32,24106.0,6.0,11089.0,18186.0,3.8,0,2,0.328,19372.0,Employed,Excellent,0
26,62283.0,5.8,35469.0,23899.0,9.7,3,2,0.667,20068.0,Employed,Average,0
40,48342.0,3.7,30340.0,25516.0,7.0,5,0,0.617,4499.0,Self-employed,Good,0
51,44379.0,4.2,7509.0,20230.0,7.9,3,0,0.519,22278.0,Self-employed,Excellent,1
50,74152.0,11.9,31933.0,10318.0,6.0,1,1,0.643,21582.0,Employed,Good,0
42,87544.0,5.6,21560.0,33351.0,4.6,4,2,0.58,4090.0,Employed,Good,0
59,94476.0,2.9,37885.0,10150.0,13.5,7,2,0.298,82504.0,Self-employed,Average,1
46,83926.0,3.9,29585.0,37400.0,2.6,2,0,0.595,11143.0,Employed,Poor,0
24,52586.0,10.4,36206.0,10604.0,9.7,3,3,0.505,14400.0,Employed,Excellent,1
55,62760.0,8.7,46203.0,28590.0,9.1,2,1,0.785,45871.0,Employed,Good,0
46,71870.0,8.2,24972.0,34231.0,0.7,2,0,0.726,55339.0,Employed,Good,1
49,57666.0,5.0,13326.0,6469.0,3.7,5,1,0.386,18565.0,Employed,Average,1
46,57877.0,8.3,20519.0,21110.0,4.3,2,1,0.08,16067.0,Employed,Excellent,1
45,73123.0,3.4,7291.0,31519.0,9.3,4,1,0.481,62015.0,Employed,Good,1
25,53696.0,5.0,9904.0,7102.0,5.5,0,1,0.289,41880.0,Employed,Average,1
46,38956.0,9.9,9059.0,13833.0,6.7,5,3,0.577,15662.0,Employed,Good,1
56,45882.0,9.5,17455.0,18347.0,1.2,0,2,0.226,17156.0,Employed,Average,0
34,68946.0,2.1,10585.0,18992.0,16.3,3,2,0.623,57433.0,Self-employed,Excellent,1
48,,2.6,18672.0,31793.0,7.3,6,3,0.757,43445.0,,Poor,0
22,62485.0,6.4,37871.0,23784.0,9.0,2,2,0.372,11877.0,Employed,Average,0
36,69742.0,12.9,17025.0,26305.0,4.8,5,2,0.762,32227.0,Employed,Good,1
40,46753.0,0.0,19096.0,1000.0,4.4,2,1,0.287,33983.0,Employed,Excellent,1
65,71637.0,7.1,57054.0,5496.0,14.7,7,0,0.848,60183.0,Employed,Good,1
30,63335.0,0.5,25983.0,3325.0,0.5,7,4,0.529,13736.0,Employed,Average,0
33,27834.0,3.5,11392.0,22922.0,8.1,7,4,0.605,21081.0,Employed,Excellent,0
39,86731.0,4.5,24512.0,56864.0,2.2,3,1,0.51,58466.0,Employed,Poor,0
65,43984.0,4.3,23604.0,30479.0,5.4,2,2,0.582,5727.0,Employed,Average,0
59,18588.0,3.9,10458.0,1000.0,4.4,4,2,0.448,1968.0,Self-employed,Poor,0
22,32009.0,6.0,9518.0,13685.0,3.1,6,6,0.549,8927.0,Employed,Good,0
31,32537.0,3.9,8441.0,20217.0,7.1,4,3,0.883,34053.0,Unemployed,Good,0
57,56148.0,0.2,28454.0,28190.0,0.5,5,0,0.284,5085.0,Employed,Excellent,0
23,48975.0,9.1,18999.0,4603.0,5.7,7,3,0.253,36640.0,Employed,Good,1
59,47590.0,9.0,21747.0,32428.0,6.6,6,0,0.801,22800.0,Employed,Excellent,0
33,68633.0,9.4,6941.0,10050.0,1.6,2,2,0.544,46928.0,Self-employed,Excellent,1
62,62477.0,0.0,15751.0,10012.0,13.1,1,0,0.524,52721.0,Employed,Average,1
34,61953.0,7.2,36591.0,31207.0,4.6,3,2,0.041,56420.0,Unemployed,Excellent,0
40,64016.0,8.7,21665.0,24071.0,6.1,4,0,0.322,42267.0,Self-employed,Excellent,1
50,68555.0,1.9,28452.0,17854.0,4.6,6,2,0.6,34584.0,Employed,Good,1
26,18000.0,6.0,2298.0,8506.0,6.7,2,1,0.192,7391.0,Employed,Average,0
46,46982.0,5.5,19200.0,30837.0,12.2,1,2,0.811,16838.0,Employed,Average,0
43,18000.0,13.4,14941.0,2825.0,16.9,2,2,0.332,10934.0,Employed,Good,0
56,,13.7,24677.0,27969.0,10.0,4,1,0.394,13540.0,Self-employed,Excellent,1
65,54898.0,0.0,10038.0,16510.0,11.4,1,3,0.071,19790.0,,Good,1
50,78002.0,16.0,54054.0,8682.0,13.9,3,3,0.256,10996.0,Employed,Good,0
39,81128.0,2.3,43776.0,19502.0,8.0,2,2,0.349,53966.0,Employed,Good,1
39,59461.0,9.9,31925.0,24542.0,13.3,7,2,0.15,9551.0,Employed,Excellent,1
39,43992.0,9.9,500.0,4804.0,10.2,4,0,0.436,10308.0,Self-employed,Poor,0
57,65674.0,2.0,12055.0,14618.0,7.6,5,1,0.278,38501.0,Employed,Excellent,1
35,43386.0,8.0,22850.0,15139.0,8.4,4,1,0.377,24388.0,Employed,Good,1
28,54969.0,5.6,10577.0,22752.0,0.5,0,2,0.577,36340.0,Employed,Excellent,1
36,76695.0,8.2,14387.0,36775.0,8.2,2,1,0.625,47112.0,Unemployed,Average,0
22,42729.0,6.9,21862.0,16115.0,0.8,6,3,0.596,23186.0,Employed,Good,0
25,72725.0,10.8,21103.0,20146.0,0.5,4,2,0.537,13089.0,Employed,Poor,0
25,69903.0,6.3,2314.0,25327.0,7.8,5,3,0.602,8384.0,Unemployed,Average,0
55,33995.0,5.3,4614.0,10251.0,2.5,6,5,0.151,37163.0,Self-employed,Average,0
53,76426.0,10.4,35828.0,29213.0,7.0,4,2,0.686,17675.0,Employed,Excellent,1
52,70368.0,8.3,39859.0,11742.0,7.6,4,0,0.287,60373.0,Self-employed,Good,1
41,57242.0,8.9,31657.0,16384.0,7.7,1,3,0.691,51787.0,Employed,Average,0
53,38229.0,3.3,2730.0,9430.0,,1,0,0.235,12132.0,Employed,Poor,0
28,36097.0,1.8,8460.0,1000.0,10.6,1,1,0.857,29631.0,Employed,Average,0
61,43171.0,3.7,17888.0,33438.0,6.6,2,1,0.363,15009.0,Employed,Poor,0
43,66937.0,3.5,14810.0,28978.0,8.8,5,2,0.614,22711.0,Self-employed,Good,1
63,33976.0,9.1,14716.0,19067.0,2.2,7,3,0.362,20036.0,Employed,Good,0
27,64625.0,9.9,44996.0,22437.0,6.3,3,1,0.224,42256.0,Employed,Good,0
43,27681.0,5.4,19600.0,6324.0,11.4,4,2,0.429,30846.0,Self-employed,Good,0
52,,11.7,16190.0,15732.0,10.9,6,1,0.234,16320.0,Employed,Excellent,1
43,57412.0,11.5,,17329.0,3.8,5,1,0.26,45781.0,Employed,Good,0
41,108793.0,7.0,5338.0,53512.0,4.8,2,1,0.418,35365.0,Employed,Excellent,1
28,24699.0,2.7,13239.0,5899.0,3.0,2,1,0.773,17101.0,Self-employed,Excellent,0
38,87384.0,12.3,37942.0,32380.0,4.4,5,4,0.23,54168.0,Employed,Good,1
31,58297.0,5.8,27807.0,21217.0,1.4,2,1,0.726,38719.0,Unemployed,Average,0
34,64046.0,6.5,40706.0,34112.0,6.4,1,2,0.7,36360.0,Self-employed,Good,0
51,57604.0,4.6,23433.0,35946.0,9.5,4,0,0.738,44992.0,Self-employed,Good,1
49,64784.0,2.4,17594.0,32981.0,3.9,5,2,0.676,4355.0,Self-employed,Average,0
48,51619.0,0.1,11702.0,21814.0,6.6,2,1,0.178,25860.0,Employed,Good,1
37,86989.0,8.5,47814.0,17603.0,,0,1,0.032,19485.0,Self-employed,Good,1
64,44958.0,2.9,18435.0,21910.0,11.2,6,3,0.75,39931.0,Employed,Good,0
24,79909.0,18.2,14989.0,43407.0,4.6,3,1,0.173,8762.0,Employed,Excellent,1
36,40824.0,1.7,17795.0,17391.0,4.7,5,2,0.634,8492.0,Employed,Good,0
26,53674.0,1.0,24290.0,28744.0,3.6,1,1,0.165,32079.0,Self-employed,Average,0
36,31417.0,8.0,17341.0,2480.0,2.4,2,0,0.196,7196.0,Employed,Good,0
64,65011.0,12.1,3743.0,30592.0,9.1,4,2,0.193,29825.0,Self-employed,Average,1
37,86793.0,6.3,27463.0,47826.0,6.5,0,1,0.161,86092.0,Unemployed,Good,0
61,53298.0,8.3,1632.0,24370.0,7.2,2,0,0.277,16409.0,Employed,Good,1
43,50669.0,0.0,500.0,19744.0,12.1,5,2,0.246,18779.0,Employed,Average,1
52,30478.0,3.3,6654.0,6188.0,12.3,6,3,0.461,33857.0,Employed,Average,1
41,49956.0,1.7,10804.0,25870.0,0.5,2,0,0.668,36129.0,Employed,Good,1
32,19959.0,0.0,4279.0,1129.0,9.6,0,1,0.254,4940.0,Employed,Good,1
55,34917.0,6.5,25330.0,3608.0,7.9,0,2,0.649,27318.0,Employed,Excellent,0
64,59989.0,0.0,15578.0,36133.0,5.2,4,0,0.622,34073.0,Employed,Average,0
32,84018.0,0.7,62731.0,54946.0,8.3,5,1,0.207,60930.0,Employed,Good,0
56,116803.0,3.9,83323.0,68670.0,0.5,4,0,0.3,57548.0,Employed,Excellent,1
32,42095.0,2.7,8661.0,11598.0,12.9,3,4,0.686,13905.0,Employed,Excellent,1
53,86577.0,7.6,63749.0,11721.0,9.1,0,2,0.77,66376.0,Employed,Poor,0
56,60363.0,7.2,39499.0,17970.0,3.5,1,2,0.626,8980.0,Self-employed,Excellent,1
41,51673.0,9.6,20063.0,30202.0,4.7,0,1,0.109,35342.0,Employed,Average,0
54,64517.0,9.0,40938.0,22182.0,0.5,3,0,0.274,44471.0,,Good,1
33,56362.0,10.6,3682.0,33659.0,5.7,2,0,0.88,51256.0,Employed,Good,1
24,57429.0,6.0,35359.0,17117.0,5.1,0,1,0.194,0.0,Employed,Good,0
25,46017.0,7.2,17070.0,15332.0,1.7,4,1,0.825,7654.0,Self-employed,Good,0
41,24242.0,8.0,500.0,18374.0,10.1,2,0,0.376,5684.0,Employed,Good,1
61,21040.0,6.6,5879.0,3785.0,12.1,7,0,0.53,12215.0,Employed,Good,1
26,,4.4,49051.0,43895.0,6.9,3,1,0.852,24039.0,Self-employed,Good,0
41,48913.0,4.7,19413.0,23768.0,5.8,0,2,0.57,30031.0,Self-employed,Average,0
52,41886.0,2.7,8777.0,1653.0,8.7,5,2,0.167,19685.0,Employed,Good,1
30,,7.7,10826.0,4209.0,6.9,5,2,0.31,48106.0,Employed,Good,1
53,72489.0,5.6,31543.0,45142.0,2.7,7,1,0.55,21419.0,Employed,Good,0
34,58968.0,3.3,42102.0,20626.0,4.4,5,3,0.813,30683.0,Employed,Good,0
57,40567.0,3.4,26688.0,19603.0,5.8,2,2,0.251,21367.0,Self-employed,Good,0
47,81978.0,1.2,34845.0,45564.0,8.0,5,1,0.775,27234.0,Employed,Excellent,1
45,89742.0,9.9,20034.0,27356.0,7.0,6,0,0.298,53796.0,,Average,1
28,65880.0,6.3,6089.0,39997.0,7.8,4,0,0.402,39007.0,Employed,,0
41,76421.0,2.5,33526.0,41294.0,0.9,6,1,0.458,56066.0,Self-employed,,1
59,82323.0,9.2,50705.0,6705.0,9.7,7,1,0.545,45305.0,Employed,Excellent,1
21,79862.0,3.8,44918.0,43302.0,7.0,6,2,0.491,58277.0,Self-employed,Poor,0
55,68510.0,0.4,29907.0,19108.0,17.2,4,0,0.055,73171.0,Employed,Good,1
43,68164.0,10.1,38272.0,15880.0,5.4,3,1,0.447,11742.0,Self-employed,Good,0
53,66433.0,3.9,23576.0,21175.0,8.3,6,2,0.557,27709.0,Self-employed,Average,0
50,30859.0,4.4,12236.0,20143.0,18.3,6,0,0.564,20041.0,Self-employed,Good,0
40,70416.0,6.2,34882.0,1604.0,7.8,2,3,0.25,2673.0,Unemployed,,0
34,25172.0,10.6,16459.0,5338.0,6.7,0,2,0.346,19483.0,Unemployed,Poor,0
49,37519.0,6.1,16472.0,17849.0,3.1,6,2,0.369,17909.0,Unemployed,Good,0
27,83678.0,1.2,57992.0,12892.0,13.1,1,1,0.521,12511.0,Employed,Average,0
47,73485.0,8.2,27019.0,34525.0,,7,1,0.468,32277.0,Employed,Excellent,0
25,87723.0,4.1,5277.0,53269.0,8.7,0,1,0.86,54846.0,Employed,Good,1
50,49023.0,13.6,7905.0,4271.0,5.1,7,2,0.714,674.0,Employed,Average,0
49,29651.0,6.0,12389.0,5666.0,6.2,5,1,0.097,4456.0,Employed,Poor,0
24,49710.0,0.0,22357.0,31508.0,,2,2,0.163,36883.0,Employed,Average,0
55,57245.0,7.4,23496.0,7747.0,12.4,0,3,0.229,35414.0,Unemployed,Excellent,1
39,56738.0,13.8,34832.0,9894.0,5.9,6,1,0.636,33079.0,Employed,Average,0
56,79941.0,12.3,24521.0,47781.0,2.1,0,4,0.598,35046.0,Employed,Excellent,1
22,47052.0,13.3,28132.0,26530.0,12.0,0,2,0.396,3266.0,Employed,Good,0
29,62745.0,1.9,32954.0,22253.0,5.0,6,4,0.617,54718.0,Employed,Average,0
43,33250.0,9.6,14258.0,10166.0,8.3,5,1,0.436,10193.0,Employed,Good,1
29,64907.0,3.1,21830.0,40850.0,10.4,1,1,0.589,48603.0,Employed,Good,1
35,55068.0,6.9,4708.0,25534.0,8.9,2,1,0.623,47173.0,Employed,Average,0
50,38504.0,0.9,15774.0,19234.0,0.5,5,0,0.342,1957.0,Self-employed,Average,0
27,49812.0,3.4,30510.0,29634.0,9.8,5,0,0.621,30292.0,Employed,Excellent,1
51,50948.0,3.3,45339.0,29823.0,6.6,2,1,0.303,39982.0,Self-employed,Excellent,0
25,49057.0,9.6,28667.0,14661.0,5.7,3,0,0.725,42234.0,Self-employed,Good,1
28,93970.0,9.2,27235.0,21004.0,6.6,0,0,0.225,51282.0,Employed,Excellent,1
47,52834.0,7.1,28872.0,14914.0,0.6,0,2,0.539,8260.0,Employed,Excellent,1
56,49634.0,0.6,28852.0,15579.0,7.8,7,1,0.267,30380.0,Self-employed,Excellent,1
28,18000.0,4.8,1071.0,1387.0,1.5,1,0,0.243,8582.0,Self-employed,Excellent,1
34,35327.0,3.0,15250.0,11593.0,5.9,7,1,0.287,24804.0,Employed,Good,1
62,49212.0,9.5,1509.0,30522.0,7.6,0,0,0.218,7288.0,Employed,Poor,0
65,39911.0,10.7,2105.0,17358.0,11.3,7,0,0.424,32352.0,Employed,Average,1
47,85398.0,10.2,3199.0,7345.0,3.7,3,2,0.24,41198.0,Employed,Good,1
41,51371.0,3.0,6001.0,18786.0,12.8,6,3,0.388,14919.0,Employed,Excellent,1
36,83346.0,0.0,54456.0,14509.0,10.8,6,4,0.667,27090.0,Self-employed,Average,0
48,56358.0,0.0,18722.0,23939.0,5.3,2,2,0.307,8760.0,Employed,Good,0
47,55819.0,11.7,10887.0,21525.0,2.6,5,0,0.231,27508.0,Employed,Average,0
34,53046.0,4.4,17219.0,5139.0,1.2,2,1,0.16,6836.0,Employed,Good,1
22,55084.0,3.0,24874.0,26906.0,8.1,6,3,0.265,24436.0,Employed,Average,0
27,92813.0,12.6,26875.0,7531.0,4.1,7,3,0.448,13051.0,Employed,Excellent,1
64,18000.0,11.1,500.0,2424.0,11.8,6,0,0.137,3385.0,Employed,Average,1
39,18000.0,6.1,8891.0,9163.0,4.3,5,0,0.758,0.0,Self-employed,Average,0
42,43050.0,4.8,6156.0,12243.0,3.4,2,0,0.818,23422.0,Self-employed,Good,1
42,55320.0,5.5,29722.0,28407.0,7.9,0,1,0.232,23062.0,Employed,Poor,0
56,70182.0,6.9,10341.0,42317.0,4.3,4,0,0.435,29792.0,Employed,Excellent,1
23,65408.0,12.4,40799.0,40307.0,7.0,1,1,0.255,38034.0,Employed,Excellent,1
24,46547.0,7.7,26897.0,1193.0,10.9,4,0,0.506,25152.0,Self-employed,Average,0
33,77419.0,8.9,6284.0,36630.0,7.5,6,3,0.528,57666.0,Employed,Good,1
42,77664.0,10.7,8427.0,34077.0,7.5,0,1,0.232,10420.0,Self-employed,Excellent,1
51,59049.0,1.3,42674.0,11660.0,7.8,7,3,0.299,18305.0,Employed,Excellent,1
43,76178.0,9.0,20610.0,47597.0,0.5,4,2,0.625,7303.0,Employed,Excellent,0
40,60998.0,4.8,29797.0,15041.0,8.6,0,1,0.891,27552.0,Employed,Excellent,1
63,42647.0,0.0,6299.0,17107.0,7.6,5,2,0.366,21547.0,Employed,Good,1
28,70352.0,0.0,19048.0,30530.0,10.6,0,0,0.284,63827.0,Employed,Excellent,1
46,57433.0,1.9,32109.0,17881.0,9.4,4,2,0.76,27321.0,Employed,Good,0
45,55029.0,8.1,41893.0,10430.0,6.2,4,0,0.583,20286.0,Employed,Good,1
